,altitude_mean_meters,Aroma,Flavor,Aftertaste,Acidity,Body,Variety,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Moisture,Country.of.Origin,Category.One.Defects,Category.Two.Defects,Total.Cup.Points
1,2075.0,8.75,8.67,8.5,8.58,8.42,Other,8.42,10.0,10.0,10.0,8.58,0.12,Ethiopia,0,1,89.92
2,1700.0,8.42,8.5,8.42,8.42,8.33,Bourbon,8.42,10.0,10.0,10.0,9.25,0.0,Guatemala,0,0,89.75
4,2075.0,8.25,8.5,8.25,8.5,8.42,Other,8.33,10.0,10.0,10.0,8.58,0.12,Ethiopia,0,2,88.83
9,1822.5,8.08,8.58,8.5,8.5,7.67,Other,8.42,10.0,10.0,10.0,8.5,0.1,Ethiopia,0,4,88.25
11,1872.0,8.25,8.42,8.17,8.33,8.08,Other,8.17,10.0,10.0,10.0,8.5,0.0,United States,0,0,87.92
12,1943.0,8.08,8.67,8.33,8.42,8.0,Other,8.08,10.0,10.0,10.0,8.33,0.0,United States,0,0,87.92
15,2080.0,8.0,8.5,8.58,8.17,8.17,Other,8.0,10.0,10.0,10.0,8.17,0.0,United States,0,0,87.58
18,1450.0,8.42,8.25,8.08,8.17,7.92,Catimor,8.0,10.0,10.0,10.0,8.42,0.1,China,0,0,87.25
19,1850.0,8.17,8.17,8.0,8.17,8.08,Ethiopian Yirgacheffe,8.33,10.0,10.0,10.0,8.33,0.0,Ethiopia,0,8,87.25
20,2019.0,8.0,8.25,8.08,8.5,8.25,Other,8.0,10.0,10.0,10.0,8.17,0.0,United States,0,0,87.25
21,1300.0,8.08,8.25,8.0,8.17,8.0,Caturra,8.33,10.0,10.0,10.0,8.33,0.11,Costa Rica,0,2,87.17
22,1320.0,8.17,8.25,8.17,8.0,7.83,Other,8.17,10.0,10.0,10.0,8.58,0.13,Mexico,0,0,87.17
23,2112.0,8.25,8.33,8.17,8.17,7.83,Other,8.17,10.0,10.0,10.0,8.17,0.0,United States,0,0,87.08
25,1250.0,8.5,8.5,8.0,8.0,8.0,Bourbon,8.0,10.0,10.0,10.0,7.92,0.12,Brazil,0,2,86.92
27,1950.0,8.42,8.17,8.17,8.17,7.83,SL14,7.92,10.0,10.0,10.0,8.17,0.12,Uganda,0,1,86.83
28,1400.0,8.17,8.08,8.08,8.0,8.08,Caturra,8.0,10.0,10.0,10.0,8.25,0.1,Honduras,0,3,86.67
29,1200.0,8.0,8.0,8.0,8.25,8.0,Sumatra,8.17,10.0,10.0,10.0,8.17,0.0,Taiwan,0,0,86.58
